Id,NA_Sales,Platform,Year_of_Release,Genre,Publisher,JP_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
771,0.12,PS3,2009.0,Simulation,Ubisoft,0.0,62.0,34.0,7,16.0,"Atari, Transmission Games, Atari SA",T
772,0.27,PS,1999.0,Action,Fox Interactive,0.0,,,,,,
773,0.0,SAT,1996.0,Fighting,Sega,0.62,,,,,,
774,0.13,PS4,2015.0,Action,Deep Silver,0.03,,,,,,
775,0.0,SNES,1994.0,Action,Banpresto,0.03,,,,,,
776,0.22,DS,2009.0,Puzzle,THQ,0.0,,,tbd,,THQ,E
777,0.11,PSP,2008.0,Role-Playing,Zushi Games,0.01,,,,,,
778,0.31,PS3,2006.0,Sports,Electronic Arts,0.0,81.0,30.0,tbd,,EA Redwood Shores,E
779,0.04,PS2,2001.0,Action,Eidos Interactive,0.0,71.0,20.0,7.8,8.0,Core Design Ltd.,T
780,0.08,Wii,2011.0,Racing,Activision,0.0,,,tbd,,Activision,E
781,0.16,Wii,2010.0,Sports,Zoo Games,0.0,,,tbd,,Zoo Games,E
782,0.18,X360,2010.0,Sports,Electronic Arts,0.0,68.0,21.0,5.4,9.0,EA Canada,E
783,0.39,DS,2006.0,Action,Capcom,0.53,,,,,,
784,0.22,XB,2005.0,Action,THQ,0.0,,,,,,
785,0.05,Wii,2007.0,Role-Playing,Sega,0.0,48.0,24.0,7.1,23.0,Totally Games,T
786,0.09,3DS,2015.0,Role-Playing,Nippon Ichi Software,0.13,77.0,44.0,7.9,49.0,Spike Chunsoft,E10+
787,0.0,PC,2014.0,Action,Focus Multimedia,0.0,,,,,,
788,0.35,PS,2000.0,Platform,Activision,0.0,54.0,10.0,5.3,4.0,Traveller's Tales,E
789,0.09,DS,2005.0,Platform,Namco Bandai Games,0.02,72.0,35.0,tbd,,Namco,E
790,0.0,DS,2009.0,Role-Playing,Namco Bandai Games,0.15,,,,,,
791,1.04,X360,2009.0,Action,Take-Two Interactive,0.03,,,,,,
792,0.05,PS,1997.0,Racing,Sony Computer Entertainment,0.0,,,,,,
793,0.0,DS,2011.0,Adventure,Capcom,0.26,,,,,,
794,0.08,X360,2012.0,Misc,Capcom,0.02,38.0,58.0,2.4,92.0,From Software,M
795,0.0,DS,2007.0,Misc,Rocket Company,0.07,,,,,,
796,0.12,PS,1996.0,Platform,BMG Interactive Entertainment,0.0,,,,,,
797,0.06,PS4,2014.0,Action,Tecmo Koei,0.03,63.0,30.0,7.5,42.0,Omega Force,T
798,0.27,GC,2004.0,Sports,Electronic Arts,0.0,81.0,30.0,8,4.0,EA Tiburon,E
799,0.18,GBA,2005.0,Misc,Zoo Digital Publishing,0.0,,,,,,
800,0.03,GBA,2003.0,Platform,Atari,0.0,42.0,16.0,tbd,,M4 Limited,T
801,0.04,GC,2003.0,Role-Playing,Sega,0.0,,,,,,
802,0.0,PS,1998.0,Simulation,Konami Digital Entertainment,1.07,,,,,,
803,0.24,X360,2006.0,Sports,Electronic Arts,0.0,,,,,,
804,0.14,PSV,2011.0,Platform,Sony Computer Entertainment,0.0,57.0,62.0,5.5,53.0,Bigbig Studios,E10+
805,0.14,PS3,2013.0,Fighting,Arc System Works,0.14,83.0,16.0,8.3,64.0,Arc System Works,T
806,0.03,PS,1999.0,Action,Infogrames,0.0,,,,,,
807,0.07,PS2,2005.0,Role-Playing,505 Games,0.0,69.0,38.0,7.3,17.0,Media Vision,T
808,0.32,NES,1987.0,Role-Playing,SquareSoft,0.52,,,,,,
809,0.05,3DS,2011.0,Puzzle,Hudson Soft,0.0,61.0,7.0,tbd,,NATSUME ATARI Inc.,E
810,0.0,PSP,2012.0,Role-Playing,Atlus,0.05,,,,,,
811,0.03,X360,2014.0,Adventure,Focus Home Interactive,0.0,,,,,,
812,0.17,DS,2006.0,Racing,Electronic Arts,0.0,70.0,6.0,7.5,15.0,Exient Entertainment,E
813,0.1,PS3,2009.0,Misc,Warner Bros. Interactive Entertainment,0.0,,,,,,
814,0.11,GBA,2004.0,Misc,,0.0,,,,,,
815,0.34,XB,2004.0,Racing,Electronic Arts,0.0,86.0,16.0,tbd,,EA Tiburon,E
816,0.1,GC,2002.0,Fighting,Acclaim Entertainment,0.0,50.0,18.0,6.8,4.0,Acclaim,T
817,0.17,PS2,2004.0,Adventure,Vivendi Games,0.0,60.0,44.0,6.3,18.0,High Voltage Software,M
818,0.0,PS,1999.0,Role-Playing,Square,0.42,,,,,,
819,0.1,PSP,2005.0,Action,Konami Digital Entertainment,0.0,43.0,30.0,5.6,22.0,Neverland,M
820,0.0,PSP,2009.0,Fighting,Broccoli,0.01,,,,,,
821,0.17,PS3,2011.0,Fighting,Rising Star Games,0.04,77.0,26.0,8.2,76.0,SNK Playmore,T
822,0.0,NES,1985.0,Puzzle,Namco Bandai Games,0.41,,,,,,
823,0.0,PC,2002.0,Shooter,Atari,0.0,86.0,27.0,8.2,98.0,Digital Extremes,M
824,0.21,Wii,2011.0,Misc,Take-Two Interactive,0.0,,,tbd,,High Voltage Software,E
825,0.02,PS2,2004.0,Role-Playing,Capcom,0.0,62.0,30.0,7.8,4.0,DreamFactory,T
826,0.35,PSP,2005.0,Action,Activision,0.0,67.0,43.0,6.9,8.0,Vicarious Visions,T
827,0.05,PS3,2008.0,Role-Playing,Codemasters,0.0,,,,,,
828,0.0,PSV,2015.0,Adventure,Kadokawa Games,0.02,,,,,,
829,1.52,X360,2011.0,Adventure,Take-Two Interactive,0.02,89.0,83.0,7.8,893.0,Team Bondi,M
830,0.08,3DS,2011.0,Adventure,Funbox Media,0.0,62.0,9.0,7.4,9.0,Santa Entertainment,E
831,0.0,PSP,2011.0,Role-Playing,Nippon Ichi Software,0.04,,,,,,
832,0.09,PS3,2011.0,Shooter,Ubisoft,0.0,81.0,21.0,7.8,25.0,Q Entertainment,E10+
833,0.13,DS,2010.0,Simulation,Ubisoft,0.0,,,tbd,,Magic Pockets,E
834,0.13,X360,2012.0,Misc,Ubisoft,0.0,,,tbd,,"Disney Interactive Studios, Land Ho!",E
835,0.11,PS2,2006.0,Role-Playing,Rising Star Games,0.0,60.0,7.0,7.9,9.0,Career Soft,T
836,0.05,PS2,2010.0,Platform,D3Publisher,0.0,,,,,,
837,0.14,PS2,2003.0,Strategy,Square Enix,0.25,75.0,39.0,8.6,22.0,Square Enix,T
838,0.0,PC,2009.0,Shooter,505 Games,0.0,77.0,38.0,7.5,589.0,Bohemia Interactive,M
839,0.34,PS2,2002.0,Shooter,Eidos Interactive,0.0,90.0,33.0,8.8,127.0,Free Radical Design,T
840,0.02,3DS,2016.0,Role-Playing,Namco Bandai Games,0.19,68.0,12.0,7.6,16.0,Ganbarion,T
841,2.03,PS,1999.0,Shooter,Sony Computer Entertainment,0.02,,,,,,
842,0.03,GBA,2005.0,Misc,Ubisoft,0.0,,,,,,
843,0.11,PSP,2010.0,Strategy,Sony Computer Entertainment,0.0,86.0,27.0,7.9,32.0,Q-Games,E
844,0.07,PS3,2011.0,Adventure,Telltale Games,0.0,66.0,5.0,6.8,51.0,Telltale Games,
845,0.07,GC,2002.0,Racing,Electronic Arts,0.0,78.0,11.0,tbd,,Page 44 Studios,E
846,0.14,PS3,2008.0,Shooter,Sega,0.0,72.0,42.0,6.5,15.0,Bizarre Creations,M
847,0.02,X360,2009.0,Sports,Namco Bandai Games,0.0,72.0,21.0,7.7,16.0,Bongfish,T
848,0.44,PS,2001.0,Racing,Take-Two Interactive,0.0,34.0,6.0,5.3,6.0,Deibus Studios,E
849,0.39,GBA,2003.0,Platform,THQ,0.0,79.0,28.0,9.2,19.0,Avalanche Software,E
850,0.13,PS2,2001.0,Strategy,THQ,0.2,71.0,15.0,8.3,22.0,Koei,T
851,0.06,PS3,2014.0,Fighting,Nippon Ichi Software,0.04,,,,,,
852,1.24,XB,2004.0,Shooter,Activision,0.0,80.0,55.0,9.1,57.0,Pandemic Studios,T
853,0.29,PS,1998.0,Role-Playing,SquareSoft,0.89,84.0,15.0,8.4,204.0,SquareSoft,T
854,0.99,PS,1999.0,Racing,Ubisoft,0.0,,,,,,
855,0.0,PC,2009.0,Adventure,Ubisoft,0.0,36.0,4.0,3.9,20.0,Longtail Studios,T
856,0.11,PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,,,,,,
857,0.05,XB,,Racing,Unknown,0.0,50.0,7.0,tbd,,Ubisoft,E
858,0.07,PS,1998.0,Role-Playing,Activision,0.0,,,,,,
859,0.2,PSP,2007.0,Role-Playing,Square Enix,0.22,74.0,32.0,7.4,28.0,TOSE,T
860,0.13,Wii,2011.0,Misc,THQ,0.0,,,tbd,,Eurocom Entertainment Software,E10+
861,0.22,2600,1981.0,Shooter,Mattel Interactive,0.0,,,,,,
862,0.0,PSP,2013.0,Adventure,Prototype,0.01,,,,,,
863,0.0,GB,1989.0,Role-Playing,SquareSoft,1.1,,,,,,
864,0.04,PS2,2006.0,Role-Playing,Square Enix,0.39,84.0,45.0,9,59.0,Tri-Ace,T
865,0.09,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.0,42.0,6.0,3.9,7.0,Griptonite Games,E10+
866,0.11,PS3,2015.0,Simulation,Koch Media,0.0,,,,,,
867,0.11,Wii,2009.0,Racing,Zushi Games,0.0,,,tbd,,EM Studios,E
868,0.0,DS,2008.0,Shooter,Arika,0.02,,,,,,
869,0.0,SAT,1994.0,Sports,Sega,0.02,,,,,,
870,0.73,PS3,2008.0,Misc,Activision,0.0,70.0,39.0,5,26.0,Neversoft Entertainment,T
871,0.14,PS,1998.0,Fighting,Virgin Interactive,0.0,,,,,,
872,0.08,PSV,2013.0,Sports,Electronic Arts,0.01,,,1.8,69.0,EA Canada,E
873,0.73,NES,1985.0,Puzzle,Nintendo,0.4,,,,,,
874,0.53,X360,2006.0,Sports,Take-Two Interactive,0.0,84.0,46.0,7.8,67.0,"Kush Games, Visual Concepts",E
875,0.21,PS3,2010.0,Shooter,Sega,0.11,84.0,61.0,8.1,304.0,PlatinumGames,M
876,0.03,GBA,2002.0,Misc,Ubisoft,0.0,76.0,5.0,tbd,,Ubisoft,E
877,0.14,PSP,2005.0,Role-Playing,Sony Computer Entertainment,0.0,72.0,38.0,7.5,19.0,Climax Entertainment,T
878,1.53,X360,2008.0,Fighting,Midway Games,0.0,72.0,61.0,7.5,87.0,Midway,T
879,0.04,DS,2008.0,Role-Playing,Success,0.0,69.0,23.0,7.7,21.0,Success,E10+
880,0.27,3DS,2015.0,Action,Capcom,2.79,,,,,,
881,0.0,DS,2008.0,Adventure,Namco Bandai Games,0.01,,,,,,
882,0.11,X360,2009.0,Adventure,Focus Home Interactive,0.0,62.0,24.0,6.8,14.0,Frogwares,T
883,0.0,DS,2007.0,Sports,Konami Digital Entertainment,0.08,,,,,,
884,0.0,PS2,2010.0,Adventure,D3Publisher,0.01,,,,,,
885,0.68,GBA,2003.0,Misc,Nintendo,0.44,,,,,,
886,0.12,X360,2015.0,Action,Konami Digital Entertainment,0.0,,,7.2,159.0,"Kojima Productions, Moby Dick Studio",M
887,0.0,PC,2005.0,Racing,Atari,0.0,84.0,21.0,8.6,44.0,SimBin,E
888,0.18,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.9,,,,,,
889,0.53,GC,2003.0,Fighting,Atari,0.0,65.0,16.0,6.3,15.0,Pyramid,T
890,0.41,PSP,2006.0,Sports,Activision,0.0,68.0,11.0,7.6,14.0,Page 44 Studios,T
891,0.13,N64,1998.0,Action,Ubisoft,0.0,,,,,,
892,0.25,PS3,2011.0,Action,Tecmo Koei,0.46,57.0,25.0,7.4,57.0,Omega Force,T
893,0.27,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,0.0,55.0,31.0,7.1,14.0,Collision Studios,M
894,0.14,Wii,2010.0,Adventure,Destineer,0.0,,,,,,
895,0.79,X360,2007.0,Sports,Take-Two Interactive,0.0,81.0,33.0,7,28.0,Visual Concepts,E
896,0.03,Wii,2010.0,Misc,Conspiracy Entertainment,0.0,,,tbd,,Mentor Interactive,E
897,0.09,Wii,,Sports,THQ,0.0,,,tbd,,Jet Black Games,E
898,0.0,PC,2011.0,Simulation,bitComposer Games,0.0,65.0,5.0,6.4,24.0,Games Farm,T
899,0.16,PS3,2013.0,Sports,Electronic Arts,0.0,74.0,28.0,3.8,26.0,EA Tiburon,E
900,0.08,DS,2009.0,Simulation,THQ,0.0,,,tbd,,THQ,E
901,0.06,PS2,2001.0,Fighting,Sammy Corporation,0.0,79.0,15.0,7.8,16.0,Arc System Works,T
902,0.05,XB,2006.0,Racing,Atari,0.0,69.0,31.0,4.6,17.0,Reflections Interactive,M
903,1.76,X360,2009.0,Role-Playing,Electronic Arts,0.03,86.0,68.0,7.9,725.0,BioWare,M
904,0.46,XOne,2013.0,Racing,Electronic Arts,0.0,75.0,18.0,5.8,175.0,Ghost Games,E10+
905,0.0,PSV,2016.0,Action,Idea Factory,0.01,,,,,,
906,0.42,Wii,2010.0,Misc,Disney Interactive Studios,0.0,78.0,13.0,8,4.0,Wideload Games Inc.,E
907,0.16,DS,2007.0,Role-Playing,Rising Star Games,0.06,70.0,25.0,7,24.0,"Image Epoch, Imageepoch",T
908,4.1,N64,1998.0,Action,Nintendo,1.45,,,,,,
909,0.02,PS2,2001.0,Platform,DreamCatcher Interactive,0.0,64.0,5.0,7.4,5.0,EKO Software,E
910,0.06,PS2,2004.0,Adventure,Vivendi Games,0.0,67.0,31.0,8.4,8.0,Black Ops Entertainment,M
911,0.0,PSP,2012.0,Adventure,Namco Bandai Games,0.23,,,,,,
912,0.12,3DS,2015.0,Fighting,Namco Bandai Games,0.16,61.0,32.0,6.6,32.0,Arc System Works,T
913,0.32,X360,2010.0,Racing,Disney Interactive Studios,0.0,82.0,78.0,8.1,101.0,Black Rock Studio,E10+
914,0.0,PS2,2006.0,Simulation,Konami Digital Entertainment,0.02,,,,,,
915,0.05,DS,2010.0,Simulation,Ubisoft,0.0,,,tbd,,Ubisoft,E
916,0.21,PSP,2007.0,Action,Eidos Interactive,0.0,78.0,32.0,8.2,28.0,Crystal Dynamics,T
917,0.0,DS,2007.0,Misc,Namco Bandai Games,0.08,,,,,,
918,0.05,PS2,2005.0,Action,SCi,0.0,58.0,29.0,7.4,24.0,Bits Studios,M
919,0.01,GBA,2006.0,Action,Crave Entertainment,0.0,,,,,,
920,0.0,SNES,1994.0,Fighting,Takara,0.4,,,,,,
921,0.29,Wii,2009.0,Racing,Activision,0.0,,,tbd,,Activision,E
922,0.07,GC,2003.0,Platform,Namco Bandai Games,0.0,77.0,18.0,7.6,8.0,Argonaut Games,T
923,0.06,DS,2005.0,Role-Playing,Nintendo,0.0,,,,,,
924,0.06,GC,2005.0,Sports,Electronic Arts,0.0,78.0,18.0,9.3,7.0,EA Canada,E10+
925,1.26,SNES,1994.0,Platform,Virgin Interactive,0.08,,,,,,
926,0.0,Wii,2007.0,Adventure,Nobilis,0.01,,,,,,
927,0.0,PC,2008.0,Shooter,THQ,0.0,73.0,19.0,6.9,171.0,Kaos Studios,T
928,0.08,PS,2001.0,Sports,Sony Computer Entertainment,0.0,53.0,10.0,tbd,,989 Sports,E
929,0.15,PS3,2011.0,Shooter,Sega,0.0,,,,,,
930,0.03,X360,2013.0,Action,Capcom,0.0,,,,,,
931,0.1,PS2,2004.0,Sports,Sega,0.0,,,,,,
932,0.25,PS3,2008.0,Misc,Electronic Arts,0.0,54.0,4.0,6.7,13.0,Electronic Arts,E
933,0.03,PS2,2004.0,Action,Konami Digital Entertainment,0.0,,,,,,
934,0.0,PSP,2010.0,Shooter,Namco Bandai Games,0.12,,,,,,
935,0.11,GC,2003.0,Action,THQ,0.0,79.0,22.0,8.8,12.0,Eurocom Entertainment Software,T
936,1.07,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.0,72.0,7.0,7.2,6.0,TT Fusion,E10+
937,0.12,XB,2004.0,Sports,Electronic Arts,0.0,77.0,27.0,6.2,11.0,EA Sports,E
938,0.16,X360,2013.0,Shooter,Electronic Arts,0.0,54.0,55.0,6.2,195.0,Visceral Games,M
939,0.08,X360,2006.0,Sports,Konami Digital Entertainment,0.02,,,,,,
940,0.92,WiiU,2013.0,Action,Nintendo,0.14,,,,,,
941,0.08,DS,2008.0,Simulation,Deep Silver,0.0,,,tbd,,Neko Entertainment,E
942,0.0,PC,2010.0,Sports,Electronic Arts,0.0,83.0,16.0,7.7,102.0,EA Sports,E
943,0.09,X360,2016.0,Sports,Take-Two Interactive,0.0,,,3.4,11.0,2K Games,E
944,0.07,DS,2005.0,Racing,Majesco Entertainment,0.0,33.0,7.0,,,Skyworks Technologies,E
945,0.68,X360,2009.0,Role-Playing,Activision,0.0,73.0,75.0,7.3,82.0,Vicarious Visions,T
946,0.09,PSV,2013.0,Misc,Nippon Ichi Software,0.15,80.0,55.0,8.1,235.0,Spike Chunsoft,M
947,0.02,XB,2006.0,Action,Namco Bandai Games,0.0,57.0,11.0,tbd,,Monkey Bar Games,E
948,2.07,GBA,2001.0,Puzzle,Atari,0.05,79.0,13.0,7.8,4.0,Mass Media,E
949,0.17,PS,1996.0,Adventure,Infogrames,0.0,,,,,,
950,0.01,XB,2005.0,Adventure,Activision,0.0,,,,,,
951,2.36,PS,2000.0,Action,Atari,0.02,62.0,14.0,7.7,92.0,Reflections Interactive,T
952,0.0,PS2,2006.0,Adventure,KID,0.02,,,,,,
953,0.0,SNES,1995.0,Shooter,Konami Digital Entertainment,0.05,,,,,,
954,0.36,PS2,2007.0,Action,THQ,0.0,,,tbd,,THQ,E
955,0.09,X360,2009.0,Racing,Codemasters,0.0,66.0,45.0,7,45.0,Asobo Studio,E
956,2.61,XOne,2015.0,Shooter,Microsoft Game Studios,0.0,82.0,74.0,7.5,563.0,"Splash Damage, The Coalition",M
957,0.01,GC,2004.0,Platform,Atari,0.0,64.0,9.0,tbd,,Paradigm Entertainment,T
958,0.1,PS4,2015.0,Sports,Electronic Arts,0.0,59.0,27.0,6.1,70.0,EA Sports,E
959,0.06,PS3,2010.0,Role-Playing,Nippon Ichi Software,0.01,44.0,30.0,4.6,34.0,Hit Maker,T
960,0.7,WiiU,2014.0,Platform,Nintendo,0.16,83.0,77.0,8.9,712.0,Retro Studios,E
961,0.16,X360,2014.0,Shooter,505 Games,0.0,,,6.6,26.0,Rebellion,M
962,0.64,PSP,2009.0,Platform,Sony Computer Entertainment,0.01,87.0,68.0,7.8,98.0,"SCE/WWS, Media Molecule",E10+
963,0.0,DS,2007.0,Fighting,Namco Bandai Games,0.08,,,,,,
964,0.0,Wii,2010.0,Fighting,Takara Tomy,0.06,,,,,,
965,0.41,DS,2008.0,Action,Activision,0.0,55.0,6.0,tbd,,Amaze Entertainment,E
966,0.07,X360,2009.0,Action,Majesco Entertainment,0.0,50.0,15.0,7.1,8.0,"Majesco Games, Majesco",E10+
967,0.01,XB,2002.0,Sports,Konami Digital Entertainment,0.0,57.0,10.0,tbd,,Farsight Technologies,E
968,0.0,PSV,2015.0,Action,Idea Factory,0.02,,,,,,
969,0.03,PS3,2011.0,Misc,O-Games,0.0,,,tbd,,Crave,T
970,0.0,DS,2008.0,Adventure,SNK Playmore,0.03,,,,,,
971,0.09,DS,2007.0,Simulation,Empire Interactive,0.0,49.0,7.0,tbd,,Empire Interactive,E
972,0.36,Wii,2006.0,Role-Playing,Activision,0.0,73.0,31.0,7.3,29.0,Vicarious Visions,T
973,0.0,N64,2000.0,Sports,Nintendo,0.07,,,,,,
974,0.06,XB,2005.0,Action,THQ,0.0,63.0,12.0,tbd,,Heavy Iron Studios,E10+
975,0.0,PSV,2015.0,Adventure,Idea Factory,0.02,,,,,,
976,0.02,Wii,2006.0,Misc,505 Games,0.0,,,tbd,,Point of View,T
977,0.0,PSV,2014.0,Role-Playing,Tecmo Koei,0.04,,,,,,
978,0.1,GBA,2002.0,Platform,Infogrames,0.0,,,,,,
979,0.0,3DS,2012.0,Role-Playing,Square Enix,0.96,,,,,,
980,0.0,PSP,2011.0,Role-Playing,Namco Bandai Games,0.36,,,,,,
981,0.23,X360,2009.0,Sports,Activision Value,0.0,,,7.8,4.0,FUN Labs,T
982,0.09,XOne,2016.0,Platform,Electronic Arts,0.0,72.0,46.0,4.4,266.0,EA DICE,T
983,0.09,DS,2005.0,Platform,THQ,0.0,66.0,13.0,tbd,,Altron,E
984,0.17,PS4,2015.0,Action,Square Enix,0.37,,,,,,
985,0.0,SNES,1996.0,Strategy,Nintendo,0.58,,,,,,
986,0.01,XB,2004.0,Fighting,Atari,0.0,65.0,8.0,8.8,4.0,Black Ship Games,T
987,0.26,DS,,Action,Activision,0.0,70.0,16.0,6.5,4.0,Vicarious Visions,E
988,0.0,XOne,2014.0,Action,505 Games,0.0,84.0,5.0,7.7,29.0,Engine Software,T
989,0.02,XB,2003.0,Sports,Capcom,0.0,49.0,12.0,tbd,,Capcom,E
990,0.34,XB,2004.0,Shooter,Electronic Arts,0.0,61.0,55.0,7.2,20.0,EA LA,T
991,0.18,PSP,2005.0,Fighting,Sony Computer Entertainment,0.0,63.0,37.0,7.3,16.0,"SCEA, Think and Feel",T
992,0.14,N64,2000.0,Action,Capcom,0.05,,,,,,
993,0.08,X360,2011.0,Misc,Take-Two Interactive,0.0,,,tbd,,High Voltage Software,E
994,0.06,GC,2002.0,Role-Playing,Ubisoft,0.0,63.0,20.0,8,10.0,Sting,E
995,0.11,N64,1997.0,Racing,Ubisoft,0.0,,,,,,
996,0.1,DS,2007.0,Misc,Disney Interactive Studios,0.0,,,tbd,,Handheld Games,E
997,0.86,PS2,2004.0,Fighting,Electronic Arts,0.0,83.0,46.0,8.9,73.0,Aki Corp.,M
998,0.54,XB,2005.0,Shooter,Microsoft Game Studios,0.0,89.0,37.0,7.4,34.0,Bungie Software,M
999,0.0,SAT,1995.0,Strategy,Glams,0.08,,,,,,
1000,0.05,GBA,2004.0,Platform,Global Star,0.0,,,tbd,,Vicarious Visions,E
1001,0.4,DS,2005.0,Simulation,Rising Star Games,0.0,,,,,,
1002,0.13,PSP,2010.0,Sports,Electronic Arts,0.01,68.0,6.0,5.4,9.0,EA Sports,E
1003,0.09,DS,2007.0,Action,Namco Bandai Games,0.0,,,,,,
1004,0.05,PS2,2008.0,Role-Playing,Eidos Interactive,0.0,,,tbd,,Backbone Entertainment,E10+
1005,0.11,PS3,2010.0,Misc,Disney Interactive Studios,0.0,72.0,4.0,tbd,,Disney Interactive Studios,E
1006,1.01,2600,1982.0,Platform,Atari,0.0,,,,,,
1007,0.17,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.0,,,6.4,18.0,,
1008,0.0,PSP,2011.0,Misc,Sony Computer Entertainment,0.0,,,,,,
1009,0.0,PS3,2016.0,Action,Tecmo Koei,0.02,,,,,,
1010,0.0,PS2,2005.0,Sports,Konami Digital Entertainment,0.11,,,,,,
1011,0.17,Wii,2011.0,Misc,Ubisoft,0.0,,,tbd,,"Ubisoft, Ludia Inc.",E10+
1012,0.09,DS,2010.0,Role-Playing,Square Enix,1.24,77.0,33.0,7.3,15.0,TOSE,E
1013,0.0,PS3,2015.0,Action,Tecmo Koei,0.06,,,tbd,,Omega Force,T
1014,0.0,PS3,2014.0,Sports,Namco Bandai Games,0.03,,,,,,
1015,0.11,X360,2010.0,Adventure,Ubisoft,0.0,42.0,9.0,4.8,4.0,Telltale Games,M
1016,0.43,PS,2000.0,Misc,Interplay,0.0,,,,,,
1017,0.24,PSP,2007.0,Misc,Crave Entertainment,0.0,,,,,,
1018,0.63,PSP,2010.0,Role-Playing,Square Enix,0.75,82.0,62.0,8.6,208.0,Square Enix,E10+
1019,0.03,PS,1997.0,Adventure,Sony Computer Entertainment,0.0,,,,,,
1020,0.28,PS3,2010.0,Role-Playing,Square Enix,0.22,74.0,45.0,6.7,155.0,"Square Enix, Tri-Ace",T
1021,0.27,Wii,2009.0,Misc,Ubisoft,0.0,43.0,7.0,7.1,7.0,7 Studios,E10+
1022,0.08,GC,2002.0,Sports,Sega,0.0,76.0,31.0,8.1,9.0,Sega AM2,E
1023,0.06,DS,2010.0,Misc,Mentor Interactive,0.0,,,,,,
1024,0.0,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.0,68.0,6.0,,,TT Games,E10+
1025,0.13,PS,1998.0,Misc,NewKidCo,0.0,,,,,,
1026,0.02,PS2,2005.0,Role-Playing,Namco Bandai Games,0.0,65.0,27.0,8.6,15.0,Bandai,E10+
1027,0.03,PS2,2003.0,Strategy,Tecmo Koei,0.0,74.0,17.0,8.9,10.0,Koei,E
1028,0.02,PS3,2015.0,Adventure,Telltale Games,0.0,,,,,,
1029,0.0,SNES,1996.0,Misc,KSS,0.03,,,,,,
1030,0.0,PSP,2006.0,Strategy,Namco Bandai Games,0.27,,,,,,
1031,0.0,DS,2008.0,Adventure,Namco Bandai Games,0.19,,,,,,
1032,0.2,PSP,2007.0,Sports,Electronic Arts,0.0,79.0,7.0,7.4,15.0,EA Canada,E
1033,1.48,PS,1998.0,Action,989 Studios,0.0,,,,,,
1034,0.0,SAT,1996.0,Shooter,Namco Bandai Games,0.2,,,,,,
1035,0.33,Wii,2010.0,Puzzle,Nintendo,0.02,72.0,19.0,5.8,4.0,"Tetris Online, Inc",E
1036,0.0,PSP,2009.0,Action,Namco Bandai Games,0.17,,,,,,
1037,0.02,GC,2003.0,Sports,Atlus,0.0,,,,,,
1038,0.01,PC,2011.0,Puzzle,Avanquest,0.0,,,tbd,,"Viva Media, Viva Media, LLC",T
1039,0.2,GC,2001.0,Adventure,Ubisoft,0.0,70.0,17.0,5.8,16.0,Ubisoft Montreal,T
1040,0.24,PS2,2003.0,Misc,Atari,0.0,,,,,,
1041,0.06,PS3,2010.0,Misc,THQ,0.0,,,tbd,,THQ,T
1042,0.0,PS,1997.0,Simulation,Taito,1.02,,,,,,
1043,0.02,X360,2015.0,Adventure,Telltale Games,0.0,,,,,,
1044,0.02,XB,2005.0,Shooter,DreamCatcher Interactive,0.0,60.0,25.0,8,4.0,Mindware Studios,T
1045,0.03,PS3,2014.0,Role-Playing,Deep Silver,0.03,56.0,13.0,3.4,46.0,"Deep Silver, Keen Games",M
1046,0.25,DS,2010.0,Action,THQ,0.0,,,tbd,,Game Machine Studios,E
1047,0.0,PS3,2014.0,Adventure,5pb,0.03,,,,,,
1048,0.12,DS,2007.0,Fighting,Sega,0.0,82.0,28.0,7.9,14.0,Treasure,T
1049,0.0,PSV,2015.0,Role-Playing,Nihon Falcom Corporation,0.15,,,,,,
1050,0.1,XB,2005.0,Action,Sega,0.0,73.0,36.0,8.8,12.0,Creative Assembly,M
1051,0.0,PC,2008.0,Adventure,Kalypso Media,0.0,69.0,25.0,7,21.0,Legacy Interactive,T
1052,0.0,PS3,2014.0,Role-Playing,Namco Bandai Games,0.23,,,,,,
1053,0.12,GC,2003.0,Sports,Electronic Arts,0.0,89.0,16.0,7.8,6.0,EA Sports,E
1054,0.01,PSV,2015.0,Action,Aksys Games,0.04,,,,,,
1055,0.14,Wii,2011.0,Sports,Namco Bandai Games,0.25,69.0,9.0,7,8.0,Prope,E
1056,0.1,PS2,2003.0,Sports,Sony Computer Entertainment,0.0,45.0,16.0,tbd,,989 Sports,E
1057,0.12,PS2,2004.0,Role-Playing,Square Enix,0.0,77.0,13.0,8,10.0,Square Enix,T
1058,0.0,3DS,2011.0,Role-Playing,Nintendo,0.48,,,,,,
1059,0.01,XOne,2016.0,Racing,Namco Bandai Games,0.0,74.0,5.0,8.1,7.0,Milestone S.r.l,E
1060,0.29,PS,1997.0,Sports,Sony Computer Entertainment,2.13,,,,,,
1061,0.0,DS,2008.0,Adventure,Rising Star Games,0.03,,,,,,
1062,0.07,PS3,2013.0,Racing,Codemasters,0.01,82.0,20.0,6.6,173.0,Codemasters,E
